tweet,label
"I woke up at my cousins house this morning, now im at home and I have done 1 and a 1/2 piece's of coursework. ",4
It's going to be a beautiful day so I'm cleaning up my yard &amp; catch up with the neighbors who are doing the same  ,4
"Aww, my kiddies always put me in a good mood when I leave class  they're such good students (...usuallyy",4
@Pandalovey i love you too ,4
Google Profiles... This is weird. http://google.com/profiles/hbbear9 Shame I can't change it ,0
@Cherrim Sure  What time are we going to aim for? :O I'll probably be done with the grass in an hour or so...,4
@missphenom I wish I had a fashion column! Check out @rachelcothran's http://www.projectbeltway.com for all things DC fashion! ,4
@pcnlove118 =D welcome to the twitterverse ,4
@leahchu...  then who are you? a ghost?,0
@JonathanRKnight I'm just glad you appreciate Iowa.    Come back in late summer when they're cutting hay...  best..smell.. EVER!,4
aw man my crush has left blogtv ,0
My octopus exploded in the Microave ,0
When will !pidgin integrate otr-encryption as a standard component like !adium does? I will really appreciate that! ,4
@ashman01 My only complaint about Facebook is they've changed it so much it's confusing ,0
I had to buy a new charger for my iBook ,0
"@lu_lu Internet says average blowjob lasts 20mins, at WA minimum wage of $17.60/hr for casual that rounds out to about $11.61 per blowjob ",4
@mofobamfyo thanks for shattering my dreams... ,0
@gem_pot you're always stupid ,4
sitting home wishing he would just call me ,0
"I accidentally put sugar in my food instead of salt, so now I'm eating sweet fried rice  My clumsiness astounds me sometimes!!",0
I'm a problem that'll never ever be solved! ,0
@chelchik no.....not with my dad......  i wish......,0
@MandyyJirouxx how r u??  how's the weather in LA?? Vienna is awesome  xx,4
@josianna   You could write a book with a story like that ,4
@chictopia Let me know what you think- I have a long list of other great designers ,4
"@llef dial-up, ewww, didn't know people were still on that. ",0
@Fearnecotton hi fearne  please play the new calvin harris song! thanks! x,4
The viewing gallery at the pool is so warm - the downside of heated indoor pools ,4
about to go to a pary i dont wanna go to. ,0
@loveistoartas I love that movie. ,4
"@GenevaMWilgus http://bit.ly/lAsDH I'm NOT insinuating anything hre, dear! ",4
@JulieAdore hey julie! i'm pretty good..sore throat's getting better.. ;) ??????? 4 your advices  ??? ????? ;),4
@reesed awed? I'd be packing... ,4
Apparently I'm a bat and apparently chris doesn't need me!!! ,0
I woke up late for work. Again. ,0
"blahhh, my throat is sore &amp; i keep coughing. i hate being sick ",0
Can't get past 43 in flight control  http://twitpic.com/2y7f2,0
"@thenickel No fair! I wanna play, but I have stupid work and three hours of Economics ",0
"@ohjennifer i told you your cars broke!! actually i probably jinxed it, im terrible at doing that, sorry barlow  whats happened now? xxx",0
@lauraEchilds fine I wont make it up to you  check your dm?,0
"@SuperTim just every now and then for me....I'm allergic, actually. But, I do love Italian Ice...that's a yummy cold treat ",4
@Jonasbrothers VERY cute! i wish i could have a dog! parents wont let me!   how is elvis anyway? he's such a cutie!!,0
They put my dog to sleep  after like 15 years of tripping over her every time i come home its kinda weird not seeing her here.,0
"Ah, the national express train. Free wifi and in the quiet zone... ",4
I think my milk was bad. ,0
Is listening to the Duran Duran concert on MTV HD.... brings back good times!! ,4
Can I drop my phone even more?  No white screen yet.,0
Left phone at friends house.. ,0
Hols = J's during the day  Ice Cream again very very nice indeed,4
@michaelgrainger heh heh but you cld use it for anything almost lol ,4
@tommcfly i always set the alarm off. ALWAYS. ,0
All by my lonesome now that my mum's gone  Well at least until K turns up in 2 hours. Time for reading and packing.,0
Good day tweetsters. I will blogging within the next day or two. Hope it goes well like my last effort  x,4
@lauraEchilds  you are enjoying this far far too much!,0
"@littlewideworld i know but we can dream,wish or just hope! ",4
"sooo cool thanks so much, our stuff just shipped so I should have soon. your the best ",4
@chasejarvis That's one royal mirage I think I could skip ,4
@nick_carter hahaha you're talking like you're some old man! And we still want to see a picture of that new haircut! ,4
CCS here I come... ,4
@emma1312 its great  cant beat going to the pub - although always makes me feel tired!,4
"I am so tired, stayed up too late last night, Keltie and Mariah are still sleepiong, i want them to wake up niow though   ",0
...callin it a nite....boring me     &lt;----lol. sometimes thats how it is when u got kids...,0
"@aerobic247 I'm on ulimited texts, I'm a serial texter! ",4
should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep ,4
@_kelli Sure! I'm thankful they did so much research. Horizon is at the bottom with 0 cows.    Sunnyside(Raleys) or 365(WholeFoods) 4 cows,0
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",0
"Trying to knock together a CoreData app. I have loads of ideas, but not enough ability to write them straight off ",0
Look at what just arrived at the R.AGE office?  - NC http://twitpic.com/2y4c4,4
@tarabearra YEAHH  buhahahah . miissedd uuu like i love spongebob xD u rememberr . lmfaoo. iloveyoutodiie.,4
why is it cold again? I'm not wearing enough layers! ,0
hey! good morning ,4
"Cheering up, waking up.  Coffee kicking in.  Why is it that I always get hungry and want to go to McD's at 3am on Sat, when it's swamped ",0
@Alyssa_Milano Awesome! How many stores?? Looks like something my girl would dig ,4
"Friboourg Liipers: Stay at home, there's no more space in zurich ",4
Goodmorning ,4
@Wizbeff I wanna go record shopping today! ,0
"@LadyParadis Just make them yourself then......harder with sausages, but burgers are easy ",4
@mitchgdodge well if you told me you wanted to go I had an extra ticket for sunday  you missed out it was hella fun.,0
Packing to go on holidays!!! ,4
@3keseys Just one more way to talk online  ,4
@ sarahxsmiles: AND THE AMAZING PEOPLE AT THE END OF THEM ,4
@amirrabennett nope. baby's due in 5th may! getting closer but still 1001 things not done ,0
checking out whats going on here ,4
@x0mrsjoejonas im okay.. Im just really really missing my best friend ,0
@honorsociety iis just 15min away I CANT GO  im sad.  oh well @mileycyrus movieee time. HM movie at 4,0
I like the sound of my new job title. Inventory manager. ,4
Working out my relationship issues with Kaze. It doesn't seem very promising yet. ,0
well good night my 8 followers wish i had more ,0
@JanetGomez-me too!  Your bio is similar to my bio  Looking forward to getting to know you!,4
"Ahh, my freakin' wrist is killing me. I've been too long on the pc. ",0
"@big_blue_wolf Not yet, no. Doubt I'll get a chance to until tonight. Work's mental, thanks to BT cutting off 70,000 customers today ",0
love talking to my boyfriend on the phoneeee ,4
@jeayese that would b fun ,4
"@pago I missed the #goodnight train, so instead how about a beautiful #goodmorning? ",4
@benshephard Hi Ben nice to have you on Twitter  x,4
@angiechaplin hi. What is this #followfriday thing about? I'm confused?? ,4
I almost got killed by a softball. great. someone take me home. ,0
hot zombie black chick got her head bashed with a fire extinguisher. ,0
I current;y hate FriendBlastPro... it's being dumb... And making my life harder ,0
http://twitpic.com/2y5ut - @nicholasbraun there you go ,4
"@tommcfly Hey, Tommy!! How was the concert here in Amsterdam? I wish I could be there! but I couldn't  ..... srry for that! Love you xoxo",0
"Mark Martin Wins!!!!!!!!!!!!!!!!! not bad for a 50 yr old in a young mans sport! Kasey Kahne (my guy) sucked as usual, needs a NEW team ",0
@Leslie_G stack is injured  are you a rowdy fan? Do you think we'll go 2-0? Was a great game...,0
I'm craving for the long weekend... ,0
@joepolitics aawww how come I didnt get a ticket? I wanted to be on the list... ,0
"im so tired, i feel that i NEVER get enough of sleep no matter how early i go to bed!!!! ",0
want to see P!nk again ,0
injected with office coffee ,4
Eating while driving  Mmm... Good!! http://twitpic.com/3is29,4
"@arienh4 Well, you either have no soul, or a full-time job, but they're pretty much the same thing ",4
i need an implantable memory stick so i can remember all the ideas  have offline *sigh* ,0
You didn't come outside to do meet and greet tonight ,0
@Phoenix165 California is what happens when you put a trickily worded Proposition in the hands of the electorate rather than the elected. ,0
"@caleyanne awe, haha are you for real? ahhh! thank you  this is the next big &quot;facebook&quot; or &quot;myspace&quot; haha i know it",4
@MAEchicka05 hahaha no he does props for heroes ,4
my twitter is messed up and it sucks in the bad way   --Katie,0
@mel1ssar0se iii know!!!! ,0
@Mwmyn I would say philosophical ,4
Dear twitter i have no friends . ,0
Classic movie on tv. Love Clueless. Makes me happy and reminds me how much I love Paul Rudd &amp; how much weight Jeremy Sisto has put on. ,4
@sexysenorita what song ??? cant see the link ,0
I wanna get over this already.  I hate being sick ,0
And p.s. I'm getting paid to boss my sister around ,4
@HartHanson Don't bail - come back for more! ,4
hello tweeters..havent been on much lately...too busy  hope your all well!,0
Tightened up the chain.. New pedal chain... Broke the cable stop on the rear brake... ,0
"@catdevnull nah, same one, rang up to see what progress was, someone else has offered but been rejected, they reckon 117-118+ to get it ",0
i just cut my hair and it actually looks a lot better ahaha ,4
Eating crickets with Nick at Typhoon!   http://twitpic.com/3i5j1,4
@kaylacooksontv u went to the beach today?! I'm so jealous ,0
"@APHood we may have voting power, but the lobbyist for the banks have the money power. And politicians ALWAYS usually go for the money! ",0
"@santoshmaharshi dont forget, also photographing ",4
"is having a tough time getting all this uni work done, she rather run away to new york and become a famous photographer right now. ",4
@popcarnes I'm not sure where it is but these girls from foothill are putting it on. I think im going with Kaity so I'll let you know ,4
@PawPrintsPet we were discussing dogs in weddings! ,4
@SookieBonTemps good luck...Portia is a bitch and Andy is a born asshole ,0
Cisco's carbon footprint FREAKING HUGE? Fossil-fuel-fed-electronic-dependent machines! Eco-friendly? Chambers riding bike-generator!  Yes!,4
"- I've just got back into coding again, and don't wanna go food shopping and then go to work  *sniff*",0
"@timvansas no, not yet   But also need to finish the rest of it ;)",0
The train is travelling at a speed that will get me to the gym before work ,4
is chillin at her very favorite cozy starbucks.. ,4
Tweeting from an iPhone ,4
I caved in. I had half a can of coke today. Sorry no soda diet ,0
morning twitterville! hope everyone has a great day ,4
@THESTROKES heeey hola ! ,4
@kottmomma Long Island Iced Tea ,4
@hhertzof Ah. Ick. My sympathies. ,0
@saad_83 I wasn't late  I was right on time,4
trying to wake up while checking my email before going to work while the rest of the world (and my husband) is still in bed!! ,0
@AlexAllTimeLow I'd love to come shop with you. Sadly I am in MN at a stupid dance competition for my friend though.  MOA in MN? yes?,0
@mubix but they don't care of the implications of that information. Frankly too few care about sec when lives are at stake ,0
@cyn3matic And I can NOT find the dang petco receipt!  AAGH!  I didn't even think I'd need it to return a deceased hammy. ,0
At ASF studio! I'm hungry and I want to be at starbucks ,0
@kristyn106 really? I'm not. ,0
@coollike awesome ,4
"@angesbiz  call me in the morning hon, any time after 6am is perfectly normal in our house  check your DM too",4
shutting off twitter ,0
The Hoyts Distribution NZ website isn't working for me. Great. And it HAS to be like this when I need it most ,0
@_kim_ber_ly_ Same to you! ,4
"thinking about chris, erin, and family today. they have to say goodbye to their beloved Dad and newly made Grandpa! ",0
is reading manga  http://plurk.com/p/mzp1e,4
@pauldtheripy Say it ain't so ,0
dang it... study break is almost over already ,0
Timmy im free ,4
is waiting for tonight  Bikinians @ Botanique,4
@samira3 i found you on twitter ,4
@technex Adobe's just 20 mins from here. You want I should go smack 'em for ya?  ,4
@AlexAllTimeLow I'm not ,0
Yeap yeap ilove Penis and Vagina haha ,4
"my heart is broken every morning dropping Foo at pre school, now i understand when moms say &quot;he has my heart broken&quot;. ",0
"@etherjammer Oh, that's not cool.  ",0
"my disney sing it game loves me  it tells me i'm good, even though i can't sing to save my life.",4
probably just broke her foot. ,0
@Jennie_Po of course i had to get one ,0
Confused about CS homework.  ,0
Yawwnn....We're paiting....I spilled yellow paint on the carpet-sorry Dad! ,0
I'm not really leaving tomorrow am I ? ,0
"What is, if the light at the end of the tunnel is red? - It's simple, the train is already leaving  (Axel Urbanski)",4
Still don't know what country to visit ,0
Cell phone is dead! My life is so hard. ,0
"@toryjohnson  Hey Tory. Don't feel bad.  The technology changes weekly.  It's not us, it's the neverending updates vying for our money.  ",4
it just HAD to snow  &gt; dernit,0
Too cold for the beach ,0
Work Work Work ,0
I am in love with someone who does not love me ...sucks! ,0
yes yes still trying to find a picture that will upload correclty.. ,0
@OMGnava I wake up @ 3:30! @alix_adame I really should go to bed @ 9 but I never do. Usually 11 or 12. @Enzo1707 Thanks! MAC does wonders ,4
"@nath_girl haha  i'm from brazil, but i cant speak spanish, sorry ",0
@trudyc75hotmail still at work until 7am.. ,0
Ted had to drive to Hilton Head this morning ,0
watching 27 dresses.. ahh the power of internet   brothers getting up... =S uhhh ohhhh. oh well,4
tomorrow is another day....damn tomorrow is already today ,0
is going to school. On Sunday. In the middle of her holiday. Waah!  http://plurk.com/p/oy117,0
"@Jack_Palahniuk An art thesis sounds complicated.  Cool, good luck with both ",4
that's an interesting first tweet! LOL follow more people!!  congrats on the twitter though! xo @LOL_Tarwhaa,4
http://twitpic.com/2yii3 - my q key broke ,0
"off towatch homestar runner, have fun goys ",4
"Up and studying in the early morn, motivated by my very bad dream! ",0
spring break in plain city... it's snowing ,0
@sachahaize good good  I will keep a look out for it then ,4
really miss talking to missy ,0
"There's a guy here at Denny's wearing a white tshirt with a Red Cross logo. The lettering on it says, &quot;GIVE BLOOD. PLAY RUGBY.&quot; ",4
@honeybeezes lol i have the swimming song from Scamper stuck in my head ,4
"@amyvangar Oh thanks for the reminder, I'd almost begun to stop thinking about it! ",0
"Eating an Ed's waffle, with icecream cream n chocolate sauce. OMGOSH  amazing!!!!",4
My God-brother is back in the hospital.  please keep him in you're thoughts/prayers.,0
@ElleryTheJones  chocolate is bad for dogs ,0
Listening to Markus Schulzï¿½s World Tour: Miami (the GDJB on 2nd April)ï¿½preparing mentally for tonight. ,4
@therealhc did you go above 88 miles per hour ? the rest of us are enjoying the spring ,4
@lrcn me too hunny  but we will talk tomorrow... I need some shut eye gnite http://myloc.me/2zq,4
@JaeBattles not fail baby ,0
gahh im at my brothers game ,0
Going to get rid of my Kirstie Alley hair later ,4
Sucks hard that Roundhay has been cancelled  I was reet lookin forward to a day out,0
@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,0
@dotmariusz I'm a late bird  Mariusz - you from Poland? past noon here - still morning for me ,4
@Cra1gHa1r !!!! It was only just yesterday I saw that Footscray still had Hot Cross buns  must not be everywhere then ,0
Just had my bath. ,4
"@DonnieWahlberg word on the street is that &quot;face time&quot; is not worth the $375.... No individual pics and rush, rush, rush..... ",0
@LeeannBB Anyone....  been a crap day here ... now 12am and I guess time for bed. up at 5am! How is lovely sunny UK?,0
I always got to stay up by myself ,0
is gonna hit the Gulf later after hours of being online.  Adik!,4
is spending the whole day with Matt before he leaves for Wisconsin for the week  Anybody wanna cheer me up?,0
"@nessie111 yes they open at eleven hun,  thank god hehe ;) xxx",4
I have the craziest dreams ever.. . I do not want to go back to work today ,0
@omgitsafox It was the highlight of my day.  ha ha...,4
@marge_and_puds YAY!!! im your first follower!! ,4
Beeeaaach. ,0
@joemcintyre  WELCOME TWEET&lt;3 LETS GET THIS!!!!!!!!!!!! ,4
better tell me how it goes! i wanna know! ,4
"i just accidentally deleted a direct message from someone asking me about being a DJ.  if you read this, please resend.  ",4
@_everaldo I saw #squirrel some months ago on your twitter. I'm sorry it's for Mac only ,0
@gwane and I'd go with either a nose ring or an eyebrow bar... In my opinion ,4
@matthires have fun! ,4
@BoomKack Justy hair.. It'll grow back ,4
why is it when i want to buy things i have no money? ,0
I've never been &amp; I really want to go now... ,0
"Only 18 more days left in london, where did the time go ",0
is hungry....must go grocery shopping...no juice ,0
Saturday night tired and bored. ! ,0
"Eating a 6 egg omlette, with bacon and cheese &amp; herbs...mmmm ",4
@rationalacademy I dig your tunes ,4
@HilaryAnnDuff wish I could view it on my phone ,0
@cubedweller Gah - not for me on freeview then  Still - if they brought over the Colbert Report I'd consider switching just to get that.,0
is doing well with this Jewish essay ,0
okay off to do some job hunting.. can you believe a small gaming comp told me I was over qualified with experience &gt;.&lt; for real  ninnies,0
Plans have changed for the better... out for a MTB ride in the sunshine now ,4
#Livemercial Basketball bracket champion. ,4
"Just wrote a 2 pg paper n 30 min, studied n now off 2 bed. Gotta wake up n 3 hours. OH JOY!  Nite all!",0
Can't wait to spend the day with Davina today! She's been in Melbourne all week and I'm missing her!!! ,0
@c_elizabeth ahh that's so awesome!  I def. need to go see it. I'm glad it was good  what're you up to?,4
@hilarysarobot my parents just made our guest room a game room.  Our game room is now a &quot;den.&quot; My room is the new guest room ,0
is not having a good week ,0
@shruticute Got any web link to it? Here we only get the Hindu and TOI. ,0
@xoVince pssht! i miss u! u don't respond to me ,0
Perfect golf day and I have to leave for a wedding in 1 hour.. DAAAAAMN.. worst of all is i'm driving so no open bar for me..   ,0
is off to give my kiddies a wonderful dose of an egg hunt this morning before the Easter Break!  Wish me luck!   ,4
"; cold, and not doing anything ",4
@Warlach Curse ye!! Have fun at it. I miss doing online PR for Paramount Pics ,0
"Chicken Roll menu for luch today..  I  know, not very healthy, but from time to time it's not that bad..  ",4
not eating out. Dialling for Macs with a heavy heart. ,0
Coffe at the cup with Sandi. It's a rainy morning though ,0
@misterlamb and i wasn't happy then either. i just don't like him.  stop teasing me...i'm still in mourning over my Stars!    heehee,0
whats miley's background pic on her twitter? plz tell!  i'd like help knowing! whats the picture... OF?,4
i'm back. now i need to work out what i plan to do with damn paperwork. tweets at home aren't very interesting! ,0
@tommcfly Are you ever gonna come to Sweden?!  x,0
@camievog damn . .neither sound like fun to me ,0
Installed the new derailleur and I needed to adjust the headset. I discovered the steerer tube is too long. So no raptobike tomorrow. ,0
"cant eat, drink or breath properly thanks to the bad throat infection ",0
@CSI_PrintChick Glad to hear that you had an awesome time!!  Thanks for the updates during the show!    ,4
yes i am  ? http://blip.fm/~3xbqe,4
i think i'm getting sick again. poop. ,0
Of course now that I'm at school I feel shitty again. Such is my life. ,0
miley and demi please reply ,0
"@uniquelymo I got the text, but the pic didn't go thru. ",0
@LosAngelesTimez I'm a publicist/ writer yes ,4
@nakedsunrise ï¿½quiï¿½n? private message please!  Welcome to twitter btw. Adios!,4
Omg. Having so much fun. I love my friends  Haha,4
ITS MARIA SHARAPOVA's BDAY!!! I just realised that!  I suck.,0
"@chadengle yea, we're actually getting some snow flurries on south ridge right now. ",0
Okay - it's ridiculous. To print all of my photos kodak were charging me ï¿½50.00 WTF?!? I only ended up printing a few ,0
"Argh... I am not feeling that well today, and my new look with the social site been canceled ",0
can sense a Hull goal ,0
off to a hot date with the girl  what to have for dinner?,4
LOST sucks  ... because i have to work today,0
"omgah, So bored.. somebody give me a new fun thing to do for now.. I tired tetris.. video games.. and solving rubix cubes faster ",0
Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,0
wish i could sleep ,0
Dad picks a restaurant with one vegetarian dish for lunch. Garlic bread and a side of fries for me ,0
bored and lonely ,0
@piawaugh *dance dance dance* Finally I can tell people. ,4
is so anxious for thursday! I can't wait to see mike its been 3 and a half months! ,4
"for them, and added greenness is always a good thing isn't it? ",4
everyone should follow me         AND feed me mexican everyday!,4
my whole body feels itchy and like its on fire ,0
@B_Nerdy Naw...I threw it to the floor cuse Lefty told me to close the freakin door behind me.   ,4
jusss came back from the worst partyy of my LIFEEE ! ugh &amp; i saw ppl i didnt wanna see... im sooooo sad ,0
i am sorry to hear about your grandma   anything i can do for you?,0
"4.30am home nice #orthodoxEaster great soup and flaounes, my egg lost  now time for bed goodnight all",0
Leaving santa cruz  i love those people.,0
@BMkerchief I love each time up post an update. Ur profile picture is an amazing site let me tell u! ,4
wants to go out. dragonball evolution premiere tonight! ,4
I'm hungry and I want IHOP now!  Bullfuck!,0
Wow. Yankees #2 pitcher goes 11 innings. Now has a 34.5 era. ,0
@souljaboytellem umm we should totally play  add me! MOBxQUEENxLaLa,4
working lonely today really wants someone to be with ,0
Ahhh all of FFTL's Merch on their site is soooo cheap!!!! i want it!!!!  But Im poor!,0
its about to be a loooong day ,0
@choclatdrop404 he's not paying me any attn ,0
Im playing Tomb raider Underworld i havent played it in 6 months cuz i was stuck but now im un-stuck ,4
@IzzyJ_Is_Here hmmm yes especially when I have a hard time with the block button  I don't wanna be mean!,0
@putrilydia why do you always eat something that I really want to eat ,0
@EP31 I is sad... Patches is injured and didn't play last night ,0
@snowmask omg it's so early there  did you see my gift? :3,0
Lunch now. Be seeing you ,4
"Heading to the airport, boo   goodbye, sunny Florida! Goodbye Kostyas and Hiltz's! Goodbye alligators!  We will miss thee.",0
@godsgirlsCAM read and put a question in there for ya  but of course.,4
"@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. ",4
Ted just passed South of the Border..looks run down.. ,0
@robstereo so i'm kinda ecstatic you have a twitter account. i was literally JUST jamming out to heartbeat yesterday with my friends. ,4
"watching Britney Spears on Velvet Channel (ohkayy..) &amp; excited to surf tom!  now, can i still paddle out? Holy smokes!",4
@jaynish you guys were so good at wod! Get some well deserved rest ,4
@RobPattinson_ I wanted 2 say that I think you are taking this new fame extremely well  U are also definitley cute ,4
@JesusTweeter 11:04 PM in this part of the world. I could probably very much impress the four walls of my room ,4
@julesRGB Nice! Got your postcard this morning too! ,4
"@MalouBlom Ok I'm in Poitiers now at my moms, I'll be in Paris tomorrow, and in LA the day after... When do I see u? Back on may 9th ",4
"@mrhankmanthe3rd http://twitpic.com/2yb4q - you appear to have no facial hair. and you're naked, and a LOSER!  xx",4
Ready for a fabulous day! ,4
@jessicafava Itï¿½s up to you girl... sinta-se a vontade ,4
still no word from @davegorman on my #idiotictwitterapps idea for Genius ,0
@chregu So its blowing budget day? ,4
@ladyhawk2711 I have some pretty hoity-toity greenhouses in my area. We'll see.  Thanks!,4
"@Janelle76 i want a phone that i can FB,MS, and twitter from!!!! ",0
Cases like sandra cantu break my heart... Also the reason I'm uber protective of my girls ,0
"is so sad  waited to send jen a happy bday message at 12, but forgot that she has limitations X( gahhhh",0
getting my passport soon!  might b going 2 haiti this summer -M...&lt;33,4
at the house tryna take care of a sick moe.... ,0
chattin wif my friend heidi ,4
I miss sekhar uncle working in that cake factory thing ,0
@having Pizza in den 12 Aposteln nach dem Salsa Kurs ,4
http://twitpic.com/3l3uq - for the record... this was supposed to be my new avi ,0
@eiregrl123 yay now you have twitter also! haha im starting a trend. haha lov you katie. ,4
"Trying to sleep but not really, I don't feel tired at all and I'm just hungry ",0
So excited for Adrian and I's free room at Dover Downs tomorrow night ,4
"watched i am sam, and i criedd ",0
I hate to wash my hair  it smells so nice but looks terrible hah,0
"@aplusk yea as an Iowa State student i was quite taken aback, but since its Veishea us Cyclones can drown our sorrows in the festivities ",4
This 10-calorie vitamin water is quite disgusting ,0
has a huge headache ,0
@asot400 I love ASOT Im in heaven atm ,4
When I'll die my avatar will sleep forever in Second Life. It's sad ,0
Taking it slow today - still suffering from a lack of sleep. But as there's just a bit of patching today... *snore*  http://bit.ly/f5g3,4
@grift24 lol gladly! i made a lot! but I can't bring it to school ,0
Doesn't feel good at all. ,0
"i wanna play with Pete Wentz  but im not in houston ,,,",4
Red ant bites really smart ,0
"@skinnylatte Hiya Chutney Mary, that is a fine avatar ",4
"Woke up to the sound of scraping frost off of a car windshield  work, then 4 page play review....oh today is not looking fun",0
@poisonfruitloop I remember downloading the demo on xmas eve 1996 ,4
"@willkuhn Granular synth tutorial = cute  Oh, and very informative, too.",4
I need to find a liquor store in NYC that sells Hancock's Reserve ,0
@rachelmueller superwoman with oven mitts. you rock. ,4
feeling a little better then yesterday! my jaw is still killing meeee! ,0
"@MechaMorgan I have to save my shekels for the weekend, plus I have a tonne of work to do. Once again, responsibilities ruin everything. ",0
ONE GOAL. 1 game down ,4
Having some coffee w/ friends. Preparing to leave Spain ,0
me and my mates are gunna chekk out a movie next week..i really want to see the boat that rocked. ,4
@jeayese coz its cold rain ,0
reading David Wells 'The Courage to be Protestant' - marketeers &amp; emergents run for your life!  http://bit.ly/QBgN,4
Worked until 1230 last night. Didn't sleep until 230 and had to open the store this morning at 9. FML  my body hurts,0
finishing the tax return... instead of making some tracks or enjoying the sun... ,0
"Sitting here, pissed off because im working 24 hours on a (pretty) saturday...... damnit ",0
Getting ready to leave Cali....I DON&quot;T WANT TO GO HOME!!! I wish I could just bring my kids here!!!     ,0
he's so sweet. not going out with his friends to sort out things with me. I don't think it's gonna work out though. Too much has happened ,0
Off to breakfast and then some shopping. Have a great Saturday everyone! ,4
"Lunchtime.. then out all afternoon &amp; evening.  Will be back tomorrow - meantime, enjoy your day ",4
break my 4000th tweets ,4
"@awaman sort of. kind of. not really. but, it's nothing to worry about. ",4
"i miss cristï¿½bal, renata, alysson, lucas, mohamed.. oh, i wish i could see my friends and my almost-not-boyfriend everyday ",0
Only working 3 days this week! ,4
@claudiagmodel frizz or not you know u still beautiful! ,4
"@nicolerichie: Haha. Yeah, they were that band from MMC! I used to have a CD, but I lost it. ",0
is wishing everyone a very beautiful and prosperous day. Life is grand so take advantage ,4
Is awake and getting ready to start my day ,0
@RiskyBusinessMB You guys should do your acostic performance at 5! I have a championship meet tomorrow that won't end til then.  -Cami,0
@maizey12 love it! I think thats kinda fun ,4
@KrisjeLena Well that's a great idea!!!  Does he still want to go knowing it's in the 'gay' street of Amsterdam? LOL,4
"@ekalavyab saw it smetime back , bloody creative it is ",4
"@Sixtiesguy Good point~it looks like it ties in front so ur stomach shows! So I guess making it, u could alter it 2 look the way U want! ",4
@BabyB21 Who cares? It's your life ,4
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,0
today I had the most money in my hands than I'd ever had before! Yay unemployment and tax refund! ,4
"@KoboldThief Dude, waaaaaay too much! People think I'm going to hit them. ",4
@DustDevil75 Apparently so. ,0
is dancing  hows the twitter wold to day?,4
My head hurts.  I think I drank too much?,0
"@twbostick I bet you did an awesome job, too. ",4
